Data Pedido,ID Cliente,ID Produto,Vendas
09-11-2013,CG-12520,FUR-BO-10001798,261.96
09-11-2013,CG-12520,FUR-CH-10000454,731.94
13-06-2013,DV-13045,OFF-LA-10000240,14.62
11-10-2012,SO-20335,FUR-TA-10000577,957.5775
11-10-2012,SO-20335,OFF-ST-10000760,22.368
09-06-2011,BH-11710,FUR-FU-10001487,48.86
09-06-2011,BH-11710,OFF-AR-10002833,7.28
09-06-2011,BH-11710,TEC-PH-10002275,907.152
09-06-2011,BH-11710,OFF-BI-10003910,18.504
09-06-2011,BH-11710,OFF-AP-10002892,114.9
09-06-2011,BH-11710,FUR-TA-10001539,1706.184
09-06-2011,BH-11710,TEC-PH-10002033,911.424
16-04-2014,AA-10480,OFF-PA-10002365,15.552
06-12-2013,IM-15070,OFF-BI-10003656,407.976
22-11-2012,HP-14815,OFF-AP-10002311,68.81
22-11-2012,HP-14815,OFF-BI-10000756,2.544
11-11-2011,PK-19075,OFF-ST-10004186,665.88
13-05-2011,AG-10270,OFF-ST-10000107,55.5
27-08-2011,ZD-21925,OFF-AR-10003056,8.56
27-08-2011,ZD-21925,TEC-PH-10001949,213.48
27-08-2011,ZD-21925,OFF-BI-10002215,22.72
10-12-2013,KB-16585,OFF-AR-10000246,19.46
10-12-2013,KB-16585,OFF-AP-10001492,60.34
17-07-2014,SF-20065,FUR-CH-10002774,71.372
25-09-2012,EB-13870,FUR-TA-10000577,1044.63
16-01-2013,EH-13945,OFF-BI-10001634,11.648
16-01-2013,EH-13945,TEC-AC-10003027,90.57
17-09-2012,TB-21520,FUR-BO-10004834,3083.43
17-09-2012,TB-21520,OFF-BI-10000474,9.618
17-09-2012,TB-21520,FUR-FU-10004848,124.2
17-09-2012,TB-21520,OFF-EN-10001509,3.264
17-09-2012,TB-21520,OFF-AR-10004042,86.304
17-09-2012,TB-21520,OFF-BI-10001525,6.858
17-09-2012,TB-21520,OFF-AR-10001683,15.76
20-10-2014,MA-17560,OFF-PA-10000249,29.472
09-12-2013,GH-14485,TEC-PH-10004977,1097.544
09-12-2013,GH-14485,FUR-FU-10003664,190.92
27-12-2012,SN-20710,OFF-EN-10002986,113.328
27-12-2012,SN-20710,FUR-BO-10002545,532.3992
27-12-2012,SN-20710,FUR-CH-10004218,212.058
27-12-2012,SN-20710,TEC-PH-10000486,371.168
